
card_name,format,legality_status,reason,last_updated,source_url
Underdark Explorer,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Vicious Battlerager,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
All sticker or Attraction cards,Pauper,Banned,Un-set cards with stickers or Attractions are banned.,Various,https://magic.wizards.com/en/banned-restricted-list
Amalia Benavides Aguirre,Pioneer,Banned,Combo enabler that creates deterministic infinite loop kills.,Various,https://magic.wizards.com/en/banned-restricted-list
Balustrade Spy,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Bloodstained Mire,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Expressive Iteration,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Felidar Guardian,Pioneer,Banned,Combos with Saheeli Rai to create infinite tokens.,Various,https://magic.wizards.com/en/banned-restricted-list
Field of the Dead,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Flooded Strand,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Geological Appraiser,Pioneer,Banned,Facilitates deterministic cascade combo decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Inverter of Truth,Pioneer,Banned,Part of the Inverter combo deck that dominated the format.,Various,https://magic.wizards.com/en/banned-restricted-list
"Jegantha, the Wellspring",Pioneer,Banned,"Banned as part of the December 16, 2024 update for being a free companion that warped deck construction.",2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
"Karn, the Great Creator",Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
"Kethis, the Hidden Hand",Pioneer,Banned,Combo engine enabling legendary graveyard loops.,Various,https://magic.wizards.com/en/banned-restricted-list
Leyline of Abundance,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Lurrus of the Dream-Den,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Nexus of Fate,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
"Oko, Thief of Crowns",Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Once Upon a Time,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Polluted Delta,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
"Sorin, Imperious Bloodlord",Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
"Teferi, Time Raveler",Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Tibalt's Trickery,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Undercity Informer,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Underworld Breach,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
"Uro, Titan of Nature's Wrath",Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Veil of Summer,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Walking Ballista,Pioneer,Banned,"Creates infinite damage combo with Heliod, Sun-Crowned.",Various,https://magic.wizards.com/en/banned-restricted-list
Wilderness Reclamation,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Windswept Heath,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
"Winota, Joiner of Forces",Pioneer,Banned,Creates overwhelming board states by cheating in creatures too quickly.,Various,https://magic.wizards.com/en/banned-restricted-list
Wooded Foothills,Pioneer,Banned,Banned to preserve format balance or due to combo potential.,Various,https://magic.wizards.com/en/banned-restricted-list
Agent of Treachery,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Arid Mesa,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Ancient Tomb,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Blood Moon,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Bloodstained Mire,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Brainstorm,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Channel,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Chrome Mox,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Commandeer,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Dark Ritual,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Demonic Tutor,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Endurance,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Field of the Dead,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Flare of Cultivation,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Flare of Denial,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Flare of Duplication,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Flare of Fortitude,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Flare of Malice,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Flooded Strand,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Force of Vigor,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Fury,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Grief,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Harbinger of the Seas,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Intruder Alarm,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Land Tax,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Lightning Bolt,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Magus of the Moon,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Mana Drain,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Marsh Flats,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Memory Lapse,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Misty Rainforest,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Natural Order,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Necropotence,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Nexus of Fate,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
"Oko, Thief of Crowns",Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Once Upon a Time,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Polluted Delta,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
"Ragavan, Nimble Pilferer",Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Reanimate,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Scalding Tarn,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Show and Tell,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Sneak Attack,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Solitude,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Spreading Seas,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Strip Mine,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Subtlety,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Swords to Plowshares,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Thassa's Oracle,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Tibalt's Trickery,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Time Warp,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
"Uro, Titan of Nature's Wrath",Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Veil of Summer,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Verdant Catacombs,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Wilderness Reclamation,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Windswept Heath,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Winter Moon,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Wooded Foothills,Historic,Banned,Banned for balance in Historic; often due to power level or combo issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Agent of Treachery,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Chalice of the Void,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Channel,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Demonic Tutor,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Drannith Magistrate,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Field of the Dead,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Gideon's Intervention,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
"Lutri, the Spellchaser",Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Meddling Mage,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Natural Order,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Nexus of Fate,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
"Oko, Thief of Crowns",Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Phyrexian Revoker,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Pithing Needle,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Runed Halo,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Sorcerous Spyglass,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Tainted Pact,Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
"Ugin, the Spirit Dragon",Brawl,Banned,Banned due to power level or disruptive play patterns in Brawl.,Various,https://magic.wizards.com/en/banned-restricted-list
Commander Color Identity Rule,Commander,Rule,A card's color identity is determined by its mana cost and rules text; every card in your deck may only use mana symbols that also appear on your commander's card. Colorless cards are allowed.,Various,https://magic.wizards.com/en/formats/commander
Legendary Creature Requirement,Commander,Rule,Your deck must have a legendary creature as its commander and consist of 100 singleton cards built around its color identity; players start with 40 life and lose if they take 21 combat damage from a single commander.,Various,https://magic.wizards.com/en/news/feature/commander-format-introduction
Partner and Choose a Background,Commander,Rule,"If a commander has partner, you may have two commanders; the combined color identities determine deck legality and each commander tracks commander tax separately. Choose a Background allows a legendary enchantment to be your second commander.",Various,https://magic.wizards.com/en/news/feature/commander-legends-battle-for-baldurs-gate-mechanics
Legendary Vehicles and Spacecraft as Commander,Commander,Rule,"Starting with Edge of Eternities, legendary Vehicles and legendary Spacecraft with printed power and toughness may be chosen as your deck's commander, following usual color identity restrictions.",2025-07-08,https://magic.wizards.com/en/news/feature/edge-of-eternities-mechanics
Brawl Deck Construction,Brawl,Rule,"Brawl decks contain a legendary creature or planeswalker as commander and 99 other cards sharing its color identity. Only one copy of any card (except basics) is allowed, starting life total is 25, and decks do not have a sideboard.",Various,https://magic.wizards.com/en/formats/brawl
Abuelo's Awakening,Standard,Banned,"Enables powerful Azorius Omniscience combo; four-mana reanimation spells proved too cheap, making decks too consistent and warping the metagame.",2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Cori-Steel Cutter,Standard,Banned,"Power-level outlier that dominates Standard and Modern; resilient, hard to interact with, and leaves a board presence behind.",2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Heartfire Hero,Standard,Banned,Makes red aggro decks too explosive and resilient; synergizes with Manifold Mouse to push formats toward one-turn interactions.,2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Hopeless Nightmare,Standard,Banned,One-mana discard enabler used in self-bounce loops; forces opponents to discard repeatedly and reduces fun.,2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Leyline of Resonance,Standard,Banned,No official reason given; banned in Arena Best-of-One due to high win rates and unfun play patterns.,2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Monstrous Rage,Standard,Banned,Efficient combat trick enabling explosive starts for red aggro decks; reduces the effectiveness of blocking and lowers the fundamental turn of the format.,2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
This Town Ain't Big Enough,Standard,Banned,"Interacts with any permanent-based strategy and combines with Stormchaser's Talent for potential lockouts, creating unfun games.",2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Up the Beanstalk,Standard,Banned,Best-in-class card advantage engine that's difficult to interact with; encourages monotony and eliminates other strategies.,2025-06-30,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-june-30-2025
Amped Raptor,Modern,Banned,No official reason provided; likely banned due to power-level concerns or combo potential.,2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
Ancient Den,Modern,Banned,Artifact land producing fast mana; part of the Affinity strategy and too efficient.,Various,https://magic.wizards.com/en/banned-restricted-list
Arcum's Astrolabe,Modern,Banned,"Generates excessive card draw and color fixing, homogenizing decks.",Various,https://magic.wizards.com/en/banned-restricted-list
Birthing Pod,Modern,Banned,Enables tutor-based creature combo decks that become too consistent.,Various,https://magic.wizards.com/en/banned-restricted-list
Blazing Shoal,Modern,Banned,Powerful combo enabler allowing turn‑two kills with infectious creatures.,Various,https://magic.wizards.com/en/banned-restricted-list
Bridge From Below,Modern,Banned,Graveyard combo piece enabling degenerate Dredge strategies.,Various,https://magic.wizards.com/en/banned-restricted-list
Chrome Mox,Modern,Banned,Fast mana producing card that accelerates decks beyond intended speed.,Various,https://magic.wizards.com/en/banned-restricted-list
Cloudpost,Modern,Banned,"Land that scales mana exponentially, enabling Eldrazi strategies and huge spells too early.",Various,https://magic.wizards.com/en/banned-restricted-list
Dark Depths,Modern,Banned,Combo land that produces a 20/20 indestructible token quickly.,Various,https://magic.wizards.com/en/banned-restricted-list
Deathrite Shaman,Modern,Banned,"Too efficient mana dork and graveyard hate combined, dominating multiple archetypes.",Various,https://magic.wizards.com/en/banned-restricted-list
Dig Through Time,Modern,Banned,Powerful card selection with delve making it too efficient for Modern.,Various,https://magic.wizards.com/en/banned-restricted-list
Dread Return,Modern,Banned,Enables explosive Dredge kills by returning large creatures for free.,Various,https://magic.wizards.com/en/banned-restricted-list
Eye of Ugin,Modern,Banned,Allows Eldrazi decks to cast creatures too cheaply and tutor for them.,Various,https://magic.wizards.com/en/banned-restricted-list
Field of the Dead,Modern,Banned,Generates large numbers of Zombie tokens; difficult to interact with and homogenizing.,Various,https://magic.wizards.com/en/banned-restricted-list
Fury,Modern,Banned,Efficient free removal spell that unbalances creature matchups.,Various,https://magic.wizards.com/en/banned-restricted-list
Gitaxian Probe,Modern,Banned,Free card that grants perfect information and filters through deck.,Various,https://magic.wizards.com/en/banned-restricted-list
Glimpse of Nature,Modern,Banned,Combo engine for Elf decks drawing entire library.,Various,https://magic.wizards.com/en/banned-restricted-list
Golgari Grave-Troll,Modern,Banned,Dredge card enabling overwhelming graveyard recursion.,Various,https://magic.wizards.com/en/banned-restricted-list
Great Furnace,Modern,Banned,Artifact land producing fast mana for Affinity decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Grief,Modern,Banned,Evocation free discard spell that can strip multiple cards early.,Various,https://magic.wizards.com/en/banned-restricted-list
"Hogaak, Arisen Necropolis",Modern,Banned,Free 8/8 creature enabling broken graveyard decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Hypergenesis,Modern,Banned,Cascade‑combo enabling cheating of massive permanents into play.,Various,https://magic.wizards.com/en/banned-restricted-list
"Jegantha, the Wellspring",Modern,Banned,Banned in December 2024 for Modern due to being easily accessible companion that offers free mana; homogenizes deck construction.,2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
Krark-Clan Ironworks,Modern,Banned,Infinite mana combo engine with artifact sacrifice loops.,Various,https://magic.wizards.com/en/banned-restricted-list
Lurrus of the Dream-Den,Modern,Banned,Companion enabling free recursion loops that homogenized Modern.,Various,https://magic.wizards.com/en/banned-restricted-list
Mental Misstep,Modern,Banned,Too efficient counterspell that invalidates low-cost spells.,Various,https://magic.wizards.com/en/banned-restricted-list
Mycosynth Lattice,Modern,Banned,"Combo piece with Karn, the Great Creator to lock opponents out of the game.",Various,https://magic.wizards.com/en/banned-restricted-list
Mystic Sanctuary,Modern,Banned,Fetchable island that loops powerful spells repeatedly.,Various,https://magic.wizards.com/en/banned-restricted-list
"Nadu, Winged Wisdom",Modern,Banned,Creates non-deterministic combo loops and generates excessive value.,2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
"Oko, Thief of Crowns",Modern,Banned,Planeswalker too powerful and versatile; homogenizes metagame.,Various,https://magic.wizards.com/en/banned-restricted-list
Once Upon a Time,Modern,Banned,Free spell for digging for creatures or lands; reduces variance.,Various,https://magic.wizards.com/en/banned-restricted-list
Ponder,Modern,Banned,Powerful card selection spell enabling combo consistency.,Various,https://magic.wizards.com/en/banned-restricted-list
Punishing Fire,Modern,Banned,Repeatable removal engine with Grove of the Burnwillows; oppressive to creature decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Rite of Flame,Modern,Banned,Fast ritual spell enabling early combos.,Various,https://magic.wizards.com/en/banned-restricted-list
Seat of the Synod,Modern,Banned,Artifact land producing fast mana for Affinity decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Second Sunrise,Modern,Banned,Combo piece for Eggs deck that draws entire deck.,Various,https://magic.wizards.com/en/banned-restricted-list
Seething Song,Modern,Banned,Ritual enabling early explosive combos and spells.,Various,https://magic.wizards.com/en/banned-restricted-list
Sensei's Divining Top,Modern,Banned,Slow card manipulation engine that creates long turns and time issues.,Various,https://magic.wizards.com/en/banned-restricted-list
Simian Spirit Guide,Modern,Banned,Free mana creature enabling early combos.,Various,https://magic.wizards.com/en/banned-restricted-list
Skullclamp,Modern,Banned,Card draw engine that can draw entire deck with token generators.,Various,https://magic.wizards.com/en/banned-restricted-list
Summer Bloom,Modern,Banned,Ramp spell enabling Amulet Bloom combo to win early.,Various,https://magic.wizards.com/en/banned-restricted-list
The One Ring,Modern,Banned,Powerful card draw and protection engine that warps games.,2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
Tibalt's Trickery,Modern,Banned,Cascade counterspell that turns any spell into a random large threat; breaks format.,Various,https://magic.wizards.com/en/banned-restricted-list
Treasure Cruise,Modern,Banned,Delve draw spell providing too much card advantage for little mana.,Various,https://magic.wizards.com/en/banned-restricted-list
Tree of Tales,Modern,Banned,Artifact land producing fast mana for Affinity decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Umezawa's Jitte,Modern,Banned,Equipment that dominates combat and provides removal and life gain.,Various,https://magic.wizards.com/en/banned-restricted-list
Underworld Breach,Modern,Banned,Combines with Grinding Station and zero-mana artifacts to create explosive and resilient combo decks that end games quickly.,2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Up the Beanstalk,Modern,Banned,"Powerful card advantage engine that draws cards from high-cost spells, reducing interaction.",Various,https://magic.wizards.com/en/banned-restricted-list
"Uro, Titan of Nature's Wrath",Modern,Banned,"Generates life, card advantage, and ramp; ubiquitous and too strong.",Various,https://magic.wizards.com/en/banned-restricted-list
Vault of Whispers,Modern,Banned,Artifact land producing fast mana for Affinity decks.,Various,https://magic.wizards.com/en/banned-restricted-list
Violent Outburst,Modern,Banned,Cascade enabler for Living End and Crashing Footfalls; too efficient.,Various,https://magic.wizards.com/en/banned-restricted-list
"Yorion, Sky Nomad",Modern,Banned,Companion enabling 80-card decks; card advantage with flicker loops; oppressive.,Various,https://magic.wizards.com/en/banned-restricted-list
