title,commander,format,decklist
"Dimir","",Modern,"2 Bloodstained Mire
1 Cling to Dust
4 Counterspell
2 Darkslick Shores
4 Fatal Push
2 Flooded Strand
2 Force of Negation
2 Island
2 Kaito, Bane of Nightmares
1 Misty Rainforest
1 Murktide Regent
4 Orcish Bowmasters
1 Otawara, Soaring City
4 Polluted Delta
2 Preordain
4 Psychic Frog
3 Quantum Riddler
1 Shoot the Sheriff
2 Sink into Stupor
2 Spell Snare
3 Subtlety
1 Swamp
3 Tamiyo, Inquisitive Student
3 Thoughtseize
2 Undercity Sewers
2 Watery Grave

3 Consign to Memory
1 Engineered Explosives
2 Ghost Vacuum
3 Harbinger of the Seas
3 Mystical Dispute
1 Stern Scolding
2 Toxic Deluge"
"Dimir Midrange","",Modern,"2 Bloodstained Mire
2 Cling to Dust
4 Counterspell
4 Fatal Push
3 Flooded Strand
3 Force of Negation
1 Gloomlake Verge
2 Island
1 Kaito, Bane of Nightmares
3 Orcish Bowmasters
1 Otawara, Soaring City
4 Polluted Delta
4 Psychic Frog
3 Quantum Riddler
2 Sheoldred's Edict
3 Sink into Stupor
2 Spell Snare
4 Subtlety
1 Swamp
3 Tamiyo, Inquisitive Student
3 Thoughtseize
2 Undercity Sewers
3 Watery Grave

3 Consign to Memory
2 Force of Despair
3 Harbinger of the Seas
2 Hurkyl's Recall
2 Mystical Dispute
2 Strix Serenade
1 The Meathook Massacre"
"Amulet Titan","",Modern,"1 Aftermath Analyst
4 Amulet of Vigor
4 Arboreal Grazer
3 Boseiju, Who Endures
4 Crumbling Vestige
1 Cultivator Colossus
1 Dryad Arbor
1 Echoing Deeps
4 Forest
1 Formidable Speaker
4 Green Sun's Zenith
4 Gruul Turf
1 Hanweir Battlements
2 Lotus Field
4 Malevolent Rumble
1 Mirrorpool
1 Otawara, Soaring City
4 Primeval Titan
4 Scapeshift
1 Shifting Woodland
4 Simic Growth Chamber
4 Spelunking
2 Summoner's Pact
2 The Mycosynth Gardens
1 Tolaria West
1 Urza's Cave
4 Urza's Saga
1 Vesuva

1 Bojuka Bog
1 Boseiju, Who Endures
3 Dismember
1 Emrakul, the Promised End
2 Force of Vigor
3 Soulless Jailer
2 Vampires' Vengeance
2 Vexing Bauble"
"Mono-Green Amulet Titan","",Modern,"2 Aftermath Analyst
4 Amulet of Vigor
4 Arboreal Grazer
3 Boseiju, Who Endures
4 Crumbling Vestige
1 Dryad Arbor
1 Echoing Deeps
3 Forest
4 Green Sun's Zenith
3 Gruul Turf
1 Hanweir Battlements
2 Lotus Field
1 Mirrorpool
1 Otawara, Soaring City
4 Primeval Titan
3 Scapeshift
1 Shifting Woodland
4 Simic Growth Chamber
4 Spelunking
2 Summoner's Pact
1 Tolaria West
1 Urza's Cave
4 Urza's Saga
1 Vesuva
1 Vexing Bauble

1 Bojuka Bog
1 Boseiju, Who Endures
1 Collector Ouphe
3 Dismember
3 Firespout
2 Force of Vigor
1 Icetill Explorer
1 Insidious Fungus
1 Six
1 Vexing Bauble"
"Simic Belcher","",Modern,"1 Aftermath Analyst
4 Amulet of Vigor
4 Arboreal Grazer
3 Boseiju, Who Endures
4 Crumbling Vestige
1 Cultivator Colossus
1 Echoing Deeps
3 Forest
3 Green Sun's Zenith
1 Gretchen Titchwillow
3 Gruul Turf
1 Hanweir Battlements
2 Lotus Field
3 Malevolent Rumble
1 Mirrorpool
1 Otawara, Soaring City
4 Primeval Titan
2 Scapeshift
1 Shifting Woodland
3 Simic Growth Chamber
4 Spelunking
2 Summoner's Pact
1 The Mycosynth Gardens
1 Tolaria West
1 Urza's Cave
4 Urza's Saga
1 Vesuva
1 Vexing Bauble

1 Bojuka Bog
1 Boseiju, Who Endures
1 Collector Ouphe
2 Dismember
1 Elvish Reclaimer
2 Fire Magic
2 Force of Vigor
2 Mystical Dispute
1 Roxanne, Starfall Savant
1 Six
1 Vexing Bauble"
"Simic Amulet Titan","",Modern,"2 Aftermath Analyst
4 Amulet of Vigor
4 Arboreal Grazer
3 Boseiju, Who Endures
4 Crumbling Vestige
1 Dryad Arbor
1 Echoing Deeps
3 Forest
4 Green Sun's Zenith
3 Gruul Turf
1 Hanweir Battlements
2 Lotus Field
1 Mirrorpool
1 Otawara, Soaring City
4 Primeval Titan
3 Scapeshift
1 Shifting Woodland
4 Simic Growth Chamber
4 Spelunking
2 Summoner's Pact
1 The Wandering Minstrel
1 Tolaria West
1 Urza's Cave
4 Urza's Saga
1 Vesuva

1 Collector Ouphe
2 Dismember
1 Dosan the Falling Leaf
1 Firespout
1 Force of Vigor
1 Icetill Explorer
1 Insidious Fungus
1 Lithomantic Barrage
1 Otawara, Soaring City
1 Six
1 Soul-Guide Lantern
1 Tireless Tracker
2 Vexing Bauble"
"Amulet Titan","",Modern,"1 Aftermath Analyst
4 Amulet of Vigor
4 Arboreal Grazer
3 Boseiju, Who Endures
1 Commercial District
4 Crumbling Vestige
1 Echoing Deeps
3 Explore
3 Forest
2 Green Sun's Zenith
3 Gruul Turf
1 Hanweir Battlements
2 Lotus Field
1 Mirrorpool
1 Otawara, Soaring City
4 Primeval Titan
4 Scapeshift
1 Shifting Woodland
3 Simic Growth Chamber
4 Spelunking
2 Summoner's Pact
1 Tolaria West
1 Urza's Cave
4 Urza's Saga
1 Vesuva
1 Vexing Bauble

1 Bojuka Bog
1 Boseiju, Who Endures
1 Collector Ouphe
2 Dismember
1 Firespout
1 Force of Vigor
1 Otawara, Soaring City
1 Six
2 Soulless Jailer
2 Stock Up
1 Vampires' Vengeance
1 Vexing Bauble"
"Neobrand","",Modern,"4 Allosaurus Rider
1 Atraxa, Grand Unifier
1 Boseiju, Who Endures
1 Breeding Pool
2 Bridgeworks Battle
4 Consign to Memory
1 Disciple of Freyalise
4 Eldritch Evolution
1 Endurance
1 Generous Ent
2 Ghalta, Stampede Tyrant
1 Griselbrand
2 Hedge Maze
1 Hooting Mandrills
4 Misty Rainforest
4 Neoform
2 Nourishing Shoal
3 Pact of Negation
4 Planar Genesis
4 Polluted Delta
1 Snow-Covered Forest
1 Snow-Covered Island
4 Summoner's Pact
1 Undercity Sewers
1 Underground Mortuary
1 Ureni, the Song Unending
2 Veil of Summer
1 Verdant Catacombs
1 Xenagos, God of Revels

3 Abrupt Decay
1 Elesh Norn, Grand Cenobite
1 Hooting Mandrills
2 Mystical Dispute
3 Rakshasa's Bargain
2 Spell Snare
1 Veil of Summer
2 Vexing Shusher"
"Neobrand","",Modern,"4 Allosaurus Rider
1 Atraxa, Grand Unifier
1 Boseiju, Who Endures
1 Breeding Pool
2 Bridgeworks Battle
4 Consign to Memory
1 Disciple of Freyalise
4 Eldritch Evolution
1 Endurance
1 Generous Ent
2 Ghalta, Stampede Tyrant
1 Griselbrand
2 Hedge Maze
1 Hooting Mandrills
4 Misty Rainforest
4 Neoform
2 Nourishing Shoal
3 Pact of Negation
4 Planar Genesis
4 Polluted Delta
1 Snow-Covered Forest
1 Snow-Covered Island
4 Summoner's Pact
1 Undercity Sewers
1 Underground Mortuary
1 Ureni, the Song Unending
2 Veil of Summer
1 Verdant Catacombs
1 Xenagos, God of Revels

3 Abrupt Decay
1 Elesh Norn, Grand Cenobite
1 Hooting Mandrills
2 Mystical Dispute
3 Rakshasa's Bargain
2 Spell Snare
1 Veil of Summer
2 Vexing Shusher"
"Sultai Neoform","",Modern,"4 Allosaurus Rider
1 Atraxa, Grand Unifier
1 Boseiju, Who Endures
1 Breeding Pool
2 Bridgeworks Battle
4 Consign to Memory
1 Disciple of Freyalise
4 Eldritch Evolution
1 Endurance
1 Forest
1 Generous Ent
2 Ghalta, Stampede Tyrant
1 Griselbrand
2 Hedge Maze
1 Hooting Mandrills
1 Island
4 Misty Rainforest
4 Neoform
2 Nourishing Shoal
3 Pact of Negation
4 Planar Genesis
3 Polluted Delta
1 Scalding Tarn
4 Summoner's Pact
1 Undercity Sewers
1 Underground Mortuary
1 Ureni, the Song Unending
2 Veil of Summer
1 Verdant Catacombs
1 Xenagos, God of Revels

3 Abrupt Decay
1 Ashiok, Dream Render
1 Damping Sphere
1 Elesh Norn, Grand Cenobite
1 Flusterstorm
4 Mystical Dispute
2 Spell Snare
2 Veil of Summer"
"Neobrand","",Modern,"4 Allosaurus Rider
1 Atraxa, Grand Unifier
1 Boseiju, Who Endures
1 Breeding Pool
2 Bridgeworks Battle
3 Consign to Memory
1 Disciple of Freyalise
4 Eldritch Evolution
1 Endurance
1 Generous Ent
2 Ghalta, Stampede Tyrant
1 Griselbrand
2 Hedge Maze
1 Hooting Mandrills
4 Misty Rainforest
4 Neoform
2 Nourishing Shoal
3 Pact of Negation
4 Planar Genesis
4 Polluted Delta
1 Repudiate/Replicate
1 Snow-Covered Forest
1 Snow-Covered Island
4 Summoner's Pact
1 Undercity Sewers
1 Underground Mortuary
1 Ureni, the Song Unending
2 Veil of Summer
1 Verdant Catacombs
1 Xenagos, God of Revels

3 Abrupt Decay
1 Elesh Norn, Grand Cenobite
1 Hooting Mandrills
2 Mystical Dispute
3 Rakshasa's Bargain
2 Spell Snare
2 Veil of Summer
1 Wan Shi Tong, Librarian"
"Neobrand","",Modern,"4 Allosaurus Rider
1 Atraxa, Grand Unifier
1 Boseiju, Who Endures
1 Breeding Pool
2 Bridgeworks Battle
4 Consign to Memory
1 Disciple of Freyalise
4 Eldritch Evolution
1 Endurance
1 Generous Ent
2 Ghalta, Stampede Tyrant
1 Griselbrand
2 Hedge Maze
1 Hooting Mandrills
4 Misty Rainforest
4 Neoform
2 Nourishing Shoal
3 Pact of Negation
4 Planar Genesis
4 Polluted Delta
1 Snow-Covered Forest
1 Snow-Covered Island
4 Summoner's Pact
1 Undercity Sewers
1 Underground Mortuary
1 Ureni, the Song Unending
2 Veil of Summer
1 Verdant Catacombs
1 Xenagos, God of Revels

3 Abrupt Decay
1 Elesh Norn, Grand Cenobite
1 Hooting Mandrills
2 Mystical Dispute
3 Rakshasa's Bargain
2 Spell Snare
2 Veil of Summer
1 Wan Shi Tong, Librarian"

